IMDB_ID,Title,Year,Release_Month,Age_Rating,Genre,Directors,Actors,Producers,Writers,Composers,Runtime,Cinematographers,Production_Companies,Country,Language,Average_Rating,Budget,Budget_Normalized,Revenue_Normalized,num_genre,num_directors,num_actors,num_producers,num_writers,num_composers,num_cinematographers,num_production_companies
tt1825683,Black Panther,2018.0,3,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Ryan Coogler'],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Angela Bassett']",['Kevin Feige'],"['Ryan Coogler', 'Joe Robert Cole']",['Ludwig Göransson'],134.0,['Rachel Morrison'],['Marvel Studios'],United States,"English, Swahili, Nama, Xhosa, Korean",8.275,200000000,3.8021958872679504,6.803471693148675,3,1,10,1,2,1,1,1
tt6263850,Deadpool & Wolverine,2024.0,5,R,"['Action', 'Comedy', 'Science Fiction']",['Shawn Levy'],"['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner']","['Ryan Reynolds', 'Lauren Shuler Donner', 'Shawn Levy', 'Kevin Feige']","['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds', 'Shawn Levy', 'Zeb Wells']",['Rob Simonsen'],128.0,['George Richmond'],"['Marvel Studios', 'Maximum Effort', '21 Laps Entertainment', '20th Century Studios', 'Kevin Feige Productions', 'TSG Entertainment']","United States, United Kingdom, New Zealand, Canada","English, French, Spanish",7.125,200000000,3.8021958872679504,6.739134226280374,3,1,10,4,5,1,1,6
tt2527336,Star Wars: The Last Jedi,2017.0,2,PG-13,"['Adventure', 'Action', 'Science Fiction']",['Rian Johnson'],"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels']","['Ram Bergman', 'Leifur B. Dagfinnsson', 'Andres Jauernick', 'Kathleen Kennedy']",['Rian Johnson'],['John Williams'],152.0,['Steve Yedlin'],['Lucasfilm Ltd.'],United States,English,7.8,200000000,3.8021958872679504,6.70995862696606,3,1,10,4,1,1,1,1
tt4881806,Jurassic World: Fallen Kingdom,2018.0,6,PG-13,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",['J.A. Bayona'],"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Toby Jones', 'Ted Levine', 'Jeff Goldblum', 'BD Wong']","['Thomas Hayslip', 'Belén Atienza', 'Patrick Crowley', 'Frank Marshall']","['Colin Trevorrow', 'Derek Connolly']",['Michael Giacchino'],128.0,['Óscar Faura'],"['Amblin Entertainment', 'Universal Pictures']","United States, China","English, Russian",5.6,170000000,3.1380417739336184,6.58927586788954,4,1,10,4,2,1,1,2
tt3606756,Incredibles 2,2018.0,6,PG,"['Action', 'Adventure', 'Animation', 'Family']",['Brad Bird'],"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner', 'Catherine Keener', 'Eli Fucile', 'Bob Odenkirk', 'Samuel L. Jackson', 'Michael Bird', 'Sophia Bush']","['Nicole Paradis Grindle', 'John Walker']",['Brad Bird'],['Michael Giacchino'],118.0,"['Mahyar Abousaeedi', 'Erik Smitt']","['Walt Disney Pictures', 'Pixar']","United States, Japan",English,8.075,200000000,3.8021958872679504,6.221998410499274,4,1,10,2,1,1,2,2
tt4630562,The Fate of the Furious,2017.0,0,PG-13,"['Action', 'Crime', 'Thriller']",['F. Gary Gray'],"['Vin Diesel', 'Jason Statham', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'Charlize Theron', 'Kurt Russell', 'Nathalie Emmanuel', 'Luke Evans']","['Neal H. Moritz', 'Vin Diesel', 'Michael Fottrell', 'Chris Morgan']",['Chris Morgan'],['Brian Tyler'],136.0,['Stephen F. Windon'],"['Original Film', 'One Race', 'Universal Pictures']","United States, China, Japan","English, Russian, Spanish",6.45,250000000,4.9091194094918364,6.185057524650355,3,1,10,4,1,1,1,3
tt1300854,Iron Man 3,2013.0,0,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Shane Black'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'James Badge Dale', 'Stephanie Szostak', 'Paul Bettany']",['Kevin Feige'],"['Shane Black', 'Drew Pearce']",['Brian Tyler'],130.0,['John Toll'],['Marvel Studios'],United States,English,7.025,200000000,3.8021958872679504,6.074198400420333,3,1,10,1,2,1,1,1
tt3498820,Captain America: Civil War,2016.0,0,PG-13,"['Adventure', 'Action', 'Science Fiction']","['Joe Russo', 'Anthony Russo']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen']",['Kevin Feige'],"['Stephen McFeely', 'Christopher Markus']",['Henry Jackman'],147.0,['Trent Opaloch'],['Marvel Studios'],"United States, Germany, Puerto Rico","English, German, Xhosa, Russian, Romanian",7.925000000000001,250000000,4.9091194094918364,5.745624850252877,3,2,10,1,2,1,1,1
tt1477834,Aquaman,2018.0,2,PG-13,"['Action', 'Adventure', 'Fantasy']",['James Wan'],"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Nicole Kidman', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Temuera Morrison', 'Ludi Lin', 'Michael Beach']","['Rob Cowan', 'Peter Safran']","['David Leslie Johnson-McGoldrick', 'Will Beall']",['Rupert Gregson-Williams'],143.0,['Don Burgess'],"['Warner Bros. Pictures', 'The Safran Company', 'DC Films']",United States,"English, Russian, Maori, Italian",6.45,160000000,2.9166570694888407,5.729242401783603,3,1,10,2,2,1,1,3
tt6320628,Spider-Man: Far From Home,2019.0,6,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Jon Watts'],"['Tom Holland', 'Jake Gyllenhaal', 'Samuel L. Jackson', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii']","['Kevin Feige', 'Amy Pascal']","['Chris McKenna', 'Erik Sommers']",['Michael Giacchino'],129.0,['Matthew J. Lloyd'],"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']","United States, Czech Republic, Australia, Canada, Italy","English, Italian, Czech",7.7,160000000,2.9166570694888407,5.620133320088579,3,1,10,2,2,1,1,3
tt4154664,Captain Marvel,2019.0,7,PG-13,"['Action', 'Adventure', 'Science Fiction']","['Ryan Fleck', 'Anna Boden']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law', 'Annette Bening', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Clark Gregg']",['Kevin Feige'],"['Geneva Robertson-Dworet', 'Ryan Fleck', 'Anna Boden']",['Pinar Toprak'],123.0,['Ben Davis'],['Marvel Studios'],"United States, Australia",English,6.975,152000000,2.739549305933019,5.6173565216631,3,2,10,1,3,1,1,1
